"Name","State","Notes","User","Tags","Created","Runtime","Sweep","SwitchAutoEncoder-0.activation_dim","SwitchAutoEncoder-0.auxk_alpha","SwitchAutoEncoder-0.decay_start","SwitchAutoEncoder-0.device","SwitchAutoEncoder-0.dict_class","SwitchAutoEncoder-0.dict_size","SwitchAutoEncoder-0.experts","SwitchAutoEncoder-0.heaviside","SwitchAutoEncoder-0.k","SwitchAutoEncoder-0.layer","SwitchAutoEncoder-0.lb_alpha","SwitchAutoEncoder-0.lm_name","SwitchAutoEncoder-0.seed","SwitchAutoEncoder-0.steps","SwitchAutoEncoder-0.trainer","SwitchAutoEncoder-0.wandb_name","SwitchAutoEncoder-1.activation_dim","SwitchAutoEncoder-1.auxk_alpha","SwitchAutoEncoder-1.decay_start","SwitchAutoEncoder-1.device","SwitchAutoEncoder-1.dict_class","SwitchAutoEncoder-1.dict_size","SwitchAutoEncoder-1.experts","SwitchAutoEncoder-1.heaviside","SwitchAutoEncoder-1.k","SwitchAutoEncoder-1.layer","SwitchAutoEncoder-1.lb_alpha","SwitchAutoEncoder-1.lm_name","SwitchAutoEncoder-1.seed","SwitchAutoEncoder-1.steps","SwitchAutoEncoder-1.trainer","SwitchAutoEncoder-1.wandb_name","SwitchAutoEncoder-0/auxk_loss","SwitchAutoEncoder-0/cossim","SwitchAutoEncoder-0/dead_features","SwitchAutoEncoder-0/effective_l0","SwitchAutoEncoder-0/frac_alive","SwitchAutoEncoder-0/frac_recovered","SwitchAutoEncoder-0/frac_variance_explained","SwitchAutoEncoder-0/l0","SwitchAutoEncoder-0/l1_loss","SwitchAutoEncoder-0/l2_loss","SwitchAutoEncoder-0/l2_ratio","SwitchAutoEncoder-0/lb_loss","SwitchAutoEncoder-0/loss","SwitchAutoEncoder-0/loss_original","SwitchAutoEncoder-0/loss_reconstructed","SwitchAutoEncoder-0/loss_zero","SwitchAutoEncoder-0/mse_loss","SwitchAutoEncoder-1/auxk_loss","SwitchAutoEncoder-1/cossim","SwitchAutoEncoder-1/dead_features","SwitchAutoEncoder-1/effective_l0","SwitchAutoEncoder-1/frac_alive","SwitchAutoEncoder-1/frac_recovered","SwitchAutoEncoder-1/frac_variance_explained","SwitchAutoEncoder-1/l0","SwitchAutoEncoder-1/l1_loss","SwitchAutoEncoder-1/l2_loss","SwitchAutoEncoder-1/l2_ratio","SwitchAutoEncoder-1/lb_loss","SwitchAutoEncoder-1/loss","SwitchAutoEncoder-1/loss_original","SwitchAutoEncoder-1/loss_reconstructed","SwitchAutoEncoder-1/loss_zero","SwitchAutoEncoder-1/mse_loss"
"astral-frost-6","finished","-","","","2024-07-29T22:09:07.000Z","45088","","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","128","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","192","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","0","0.9725934267044068","0","128","0.00004069010537932627","0.9957315921783448","0.9912890791893004","303.843994140625","840.5386962890625","27.11154556274414","0.972675323486328","1.0370323657989502","3186.9169921875","3.3303747177124023","3.3902788162231445","17.364582061767578","793.985595703125","0","0.9777181148529052","0","192","0.00004069010537932627","0.9968181252479552","0.988864243030548","380.443115234375","1061.71484375","24.39409637451172","0.977870523929596","1.037196397781372","3034.22607421875","3.26992130279541","3.31551742553711","17.59981346130371","644.2543334960938"
"efficient-brook-5","finished","-","","","2024-07-29T22:07:27.000Z","46614","","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","96","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","0.0000017214764511663816","0.9628504514694214","16","64","0.00004069010537932627","0.9920080304145812","0.9882633090019226","197.5411376953125","602.2783813476562","31.52982711791992","0.9623353481292723","1.0360547304153442","3452.600341796875","3.3303747177124023","3.442535161972046","17.364582061767578","1069.776123046875","9.88678721114411e-8","0.9681943655014038","1","96","0.00004069010537932627","0.9943317770957948","0.9841930270195008","256.14892578125","696.8519897460938","29.165950775146484","0.9679417610168456","1.0360435247421265","3294.818603515625","3.26992130279541","3.351147174835205","17.59981346130371","914.4978637695312"
"eager-bird-4","finished","-","","","2024-07-29T22:06:44.000Z","47136","","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","32","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","48","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","0.000047946348786354065","0.9524694085121156","1894","32","0.00004069010537932627","0.9870244860649108","0.9850695133209229","130.48583984375","468.10552978515625","35.65547180175781","0.9524033069610596","1.036890983581543","3751.150390625","3.3303747177124023","3.5124764442443848","17.364582061767578","1360.9033203125","0.000026518582671997137","0.9584776163101196","228","48","0.00004069010537932627","0.990559220314026","0.9794870615005492","166.3182373046875","512.90234375","33.28290557861328","0.9579771161079408","1.0376298427581787","3568.66552734375","3.26992130279541","3.4052071571350098","17.59981346130371","1186.75244140625"
"clear-puddle-3","finished","-","","","2024-07-29T22:04:28.000Z","47726","","768","0.03125","80000","cuda:4","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","8","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:4","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","16","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","0.00007492049917345867","0.9075469970703124","18607","8","0.00004069010537932627","0.95156592130661","0.9715785980224608","166.1302490234375","430.7472534179687","49.45260238647461","0.9076435565948486","1.036662220954895","4979.72998046875","3.3303747177124023","4.010108470916748","17.364582061767578","2590.57275390625","0.00005657910878653638","0.9344692826271056","10528","16","0.00004069010537932627","0.9768756031990052","0.967989146709442","101.2467041015625","377.9560546875","41.73126220703125","0.9343395233154296","1.0363284349441528","4221.8193359375","3.26992130279541","3.6012918949127197","17.59981346130371","1851.95751953125"
