"Name","State","Notes","User","Tags","Created","Runtime","Sweep","SwitchAutoEncoder-0.activation_dim","SwitchAutoEncoder-0.auxk_alpha","SwitchAutoEncoder-0.decay_start","SwitchAutoEncoder-0.device","SwitchAutoEncoder-0.dict_class","SwitchAutoEncoder-0.dict_size","SwitchAutoEncoder-0.experts","SwitchAutoEncoder-0.heaviside","SwitchAutoEncoder-0.k","SwitchAutoEncoder-0.layer","SwitchAutoEncoder-0.lb_alpha","SwitchAutoEncoder-0.lm_name","SwitchAutoEncoder-0.seed","SwitchAutoEncoder-0.steps","SwitchAutoEncoder-0.trainer","SwitchAutoEncoder-0.wandb_name","SwitchAutoEncoder-1.activation_dim","SwitchAutoEncoder-1.auxk_alpha","SwitchAutoEncoder-1.decay_start","SwitchAutoEncoder-1.device","SwitchAutoEncoder-1.dict_class","SwitchAutoEncoder-1.dict_size","SwitchAutoEncoder-1.experts","SwitchAutoEncoder-1.heaviside","SwitchAutoEncoder-1.k","SwitchAutoEncoder-1.layer","SwitchAutoEncoder-1.lb_alpha","SwitchAutoEncoder-1.lm_name","SwitchAutoEncoder-1.seed","SwitchAutoEncoder-1.steps","SwitchAutoEncoder-1.trainer","SwitchAutoEncoder-1.wandb_name","SwitchAutoEncoder-0/auxk_loss","SwitchAutoEncoder-0/cossim","SwitchAutoEncoder-0/dead_features","SwitchAutoEncoder-0/effective_l0","SwitchAutoEncoder-0/frac_alive","SwitchAutoEncoder-0/frac_recovered","SwitchAutoEncoder-0/frac_variance_explained","SwitchAutoEncoder-0/l0","SwitchAutoEncoder-0/l1_loss","SwitchAutoEncoder-0/l2_loss","SwitchAutoEncoder-0/l2_ratio","SwitchAutoEncoder-0/lb_loss","SwitchAutoEncoder-0/loss","SwitchAutoEncoder-0/loss_original","SwitchAutoEncoder-0/loss_reconstructed","SwitchAutoEncoder-0/loss_zero","SwitchAutoEncoder-0/mse_loss","SwitchAutoEncoder-1/auxk_loss","SwitchAutoEncoder-1/cossim","SwitchAutoEncoder-1/dead_features","SwitchAutoEncoder-1/effective_l0","SwitchAutoEncoder-1/frac_alive","SwitchAutoEncoder-1/frac_recovered","SwitchAutoEncoder-1/frac_variance_explained","SwitchAutoEncoder-1/l0","SwitchAutoEncoder-1/l1_loss","SwitchAutoEncoder-1/l2_loss","SwitchAutoEncoder-1/l2_ratio","SwitchAutoEncoder-1/lb_loss","SwitchAutoEncoder-1/loss","SwitchAutoEncoder-1/loss_original","SwitchAutoEncoder-1/loss_reconstructed","SwitchAutoEncoder-1/loss_zero","SwitchAutoEncoder-1/mse_loss"
"clean-frog-6","finished","-","","","2024-07-30T01:01:23.000Z","47755","","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","100","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","300","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","0.000044464417442213744","0.9567948579788208","3228","64","0.00004069010537932627","0.9899426102638244","0.9863746166229248","253.58837890625","654.6430053710938","34.097957611083984","0.9548745155334472","1.0313754081726074","80446.0546875","3.3303747177124023","3.471522569656372","17.364582061767578","1241.935791015625","0.00004988056025467813","0.9448071718215942","8491","64","0.00004069010537932627","0.9861976504325868","0.9729151725769044","408.0152587890625","714.1879272460938","38.533409118652344","0.942345142364502","1.0331422090530396","239588.09375","3.26992130279541","3.467707872390747","17.59981346130371","1566.963623046875"
"fanciful-oath-4","finished","-","","","2024-07-30T01:01:23.000Z","46459","","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","10","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","30","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","0.000005703236183762783","0.9625418186187744","52","64","0.00004069010537932627","0.9920895099639891","0.9881578087806702","195.4332275390625","607.35693359375","31.696577072143555","0.9622729420661926","1.0371432304382324","9045.2392578125","3.3303747177124023","3.441391944885254","17.364582061767578","1079.396484375","0.000008642778993817046","0.9617507457733154","79","64","0.00004069010537932627","0.9917919039726256","0.9810457825660706","192.5859375","579.9859008789062","32.029884338378906","0.9615445733070374","1.0366272926330566","24975.3359375","3.26992130279541","3.387542963027954","17.59981346130371","1096.583740234375"
"wild-valley-4","finished","-","","","2024-07-30T01:01:23.000Z","45651","","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","1","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","7.480709314222622e-7","0.9632782936096193","7","64","0.00004069010537932627","0.9921401739120485","0.988391637802124","197.5400390625","603.214599609375","31.353612899780273","0.96281236410141","1.0378597974777222","1851.8035888671875","3.3303747177124023","3.4406819343566895","17.364582061767578","1058.0706787109375","0.000002888723429350648","0.9625215530395508","27","64","0.00004069010537932627","0.9922477006912231","0.9814417958259584","198.2266845703125","574.055419921875","31.630542755126953","0.9623088836669922","1.0359835624694824","3454.05517578125","3.26992130279541","3.3810112476348877","17.59981346130371","1073.6748046875"
"different-feather-3","finished","-","","","2024-07-30T00:57:52.000Z","46911","","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","0.1","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","0.3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","0.00004044335219077766","0.963446080684662","364","64","0.00004069010537932627","0.9921776056289672","0.9884382486343384","199.870361328125","601.8258056640625","31.283111572265625","0.9632078409194946","1.1113539934158323","1141.703369140625","3.3303747177124023","3.4401562213897705","17.364582061767578","1053.83154296875","0.000005634989520331146","0.9629814624786376","52","64","0.00004069010537932627","0.992292046546936","0.9816661477088928","199.752685546875","573.129638671875","31.42491912841797","0.962762176990509","1.045872926712036","1295.9554443359375","3.26992130279541","3.380375623703003","17.59981346130371","1060.68994140625"
"feasible-plasma-1","finished","-","","","2024-07-30T00:57:40.000Z","47790","","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","0.01","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","0.03","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","0.000043194224417675287","0.9620879292488098","1624","64","0.00004069010537932627","0.991884469985962","0.988021969795227","203.5709228515625","604.99609375","31.848587036132812","0.9618685245513916","1.6018588542938232","1101.450927734375","3.3303747177124023","3.444269895553589","17.364582061767578","1091.7822265625","0.000042685824155341834","0.9621524214744568","1215","64","0.00004069010537932627","0.9919402003288268","0.9812399744987488","202.982666015625","575.129638671875","31.77358627319336","0.962187886238098","1.3047212362289429","1103.21728515625","3.26992130279541","3.3854167461395264","17.59981346130371","1085.34228515625"
"summer-surf-2","finished","-","","","2024-07-30T00:57:40.000Z","47371","","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","0.001","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch1on.SwitchAutoEncoder","24576","32","false","64","8","0.003","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch1on.SwitchTrainer","SwitchAutoEncoder","0.000043277785152895376","0.9617789387702942","2094","64","0.00004069010537932627","0.9917656779289246","0.9879220128059388","204.457763671875","608.1683349609375","31.98760986328125","0.9616813659667968","1.7181545495986938","1099.705322265625","3.3303747177124023","3.445937156677246","17.364582061767578","1100.883056640625","0.00004343598266132176","0.9613968133926392","1650","64","0.00004069010537932627","0.9916406869888306","0.980884611606598","205.2655029296875","578.4508056640625","32.08662796020508","0.961195707321167","1.6460076570510864","1097.1473388671875","3.26992130279541","3.38970947265625","17.59981346130371","1105.91845703125"
