"Step","fiery-snowball-4 - SwitchAutoEncoder-0/l2_loss","fiery-snowball-4 - SwitchAutoEncoder-0/l2_loss__MIN","fiery-snowball-4 - SwitchAutoEncoder-0/l2_loss__MAX","fiery-snowball-4 - SwitchAutoEncoder-1/l2_loss","fiery-snowball-4 - SwitchAutoEncoder-1/l2_loss__MIN","fiery-snowball-4 - SwitchAutoEncoder-1/l2_loss__MAX","fanciful-sky-3 - SwitchAutoEncoder-0/l2_loss","fanciful-sky-3 - SwitchAutoEncoder-0/l2_loss__MIN","fanciful-sky-3 - SwitchAutoEncoder-0/l2_loss__MAX","fanciful-sky-3 - SwitchAutoEncoder-1/l2_loss","fanciful-sky-3 - SwitchAutoEncoder-1/l2_loss__MIN","fanciful-sky-3 - SwitchAutoEncoder-1/l2_loss__MAX"
"2538","","","","","","","","","","1716.9140625","1716.9140625","1716.9140625"
"2539","","","","1178.4986572265625","1178.4986572265625","1178.4986572265625","","","","","",""
"2544","","","","","","","","","","1718.1441650390625","1718.1441650390625","1718.1441650390625"
"2546","","","","1179.3426513671875","1179.3426513671875","1179.3426513671875","","","","","",""
"2547","","","","1180.8829345703125","1180.8829345703125","1180.8829345703125","5562.5927734375","5562.5927734375","5562.5927734375","","",""
"2548","","","","","","","","","","1725.36376953125","1725.36376953125","1725.36376953125"
"2550","1462.8026123046875","1462.8026123046875","1462.8026123046875","","","","","","","","",""
"2552","1440.4771728515625","1440.4771728515625","1440.4771728515625","1174.79248046875","1174.79248046875","1174.79248046875","5536.158203125","5536.158203125","5536.158203125","","",""
"2553","","","","","","","5409.36669921875","5409.36669921875","5409.36669921875","","",""
"2554","1450.72802734375","1450.72802734375","1450.72802734375","","","","","","","","",""
"2555","","","","","","","","","","1717.049560546875","1717.049560546875","1717.049560546875"
"2556","","","","","","","","","","1723.6158447265625","1723.6158447265625","1723.6158447265625"
"2557","","","","1173.537353515625","1173.537353515625","1173.537353515625","","","","","",""
"2567","1468.319580078125","1468.319580078125","1468.319580078125","","","","","","","","",""
"2570","","","","1188.32177734375","1188.32177734375","1188.32177734375","","","","","",""
"2574","","","","","","","5210.93359375","5210.93359375","5210.93359375","","",""
"2575","","","","","","","","","","1720.37353515625","1720.37353515625","1720.37353515625"
"2576","","","","","","","4949.947265625","4949.947265625","4949.947265625","","",""
"2579","","","","1185.918212890625","1185.918212890625","1185.918212890625","","","","","",""
"2583","","","","1181.60693359375","1181.60693359375","1181.60693359375","","","","","",""
"2587","","","","","","","5421.9716796875","5421.9716796875","5421.9716796875","","",""
"2593","","","","","","","5167.3447265625","5167.3447265625","5167.3447265625","","",""
"2596","","","","1176.67724609375","1176.67724609375","1176.67724609375","","","","1704.7890625","1704.7890625","1704.7890625"
"2598","","","","1181.2445068359375","1181.2445068359375","1181.2445068359375","","","","","",""
"2603","","","","1183.26416015625","1183.26416015625","1183.26416015625","","","","","",""
"2605","","","","1173.6773681640625","1173.6773681640625","1173.6773681640625","","","","","",""
"2607","","","","1182.3328857421875","1182.3328857421875","1182.3328857421875","4855.359375","4855.359375","4855.359375","","",""
"2608","1450.0225830078125","1450.0225830078125","1450.0225830078125","","","","5549.3369140625","5549.3369140625","5549.3369140625","","",""
"2614","","","","","","","5506.79345703125","5506.79345703125","5506.79345703125","","",""
"2616","1438.326904296875","1438.326904296875","1438.326904296875","","","","4694.845703125","4694.845703125","4694.845703125","1703.0413818359375","1703.0413818359375","1703.0413818359375"
"2620","","","","1180.486572265625","1180.486572265625","1180.486572265625","","","","","",""
"2621","","","","","","","5100.2900390625","5100.2900390625","5100.2900390625","","",""
"2624","","","","","","","","","","1709.225830078125","1709.225830078125","1709.225830078125"
"2625","","","","","","","","","","1698.4283447265625","1698.4283447265625","1698.4283447265625"
"2626","","","","1187.8062744140625","1187.8062744140625","1187.8062744140625","","","","","",""
"2629","","","","","","","","","","1701.04345703125","1701.04345703125","1701.04345703125"
"2632","","","","1165.5751953125","1165.5751953125","1165.5751953125","","","","","",""
"2637","1425.1865234375","1425.1865234375","1425.1865234375","","","","","","","","",""
"2638","1444.070068359375","1444.070068359375","1444.070068359375","","","","","","","","",""
"2642","","","","1173.9658203125","1173.9658203125","1173.9658203125","5247.8662109375","5247.8662109375","5247.8662109375","","",""
"2645","","","","1171.7520751953125","1171.7520751953125","1171.7520751953125","","","","1702.6011962890625","1702.6011962890625","1702.6011962890625"
"2646","","","","","","","5165.17626953125","5165.17626953125","5165.17626953125","","",""
"2649","1441.48388671875","1441.48388671875","1441.48388671875","","","","","","","1703.0869140625","1703.0869140625","1703.0869140625"
"2650","","","","1172.749267578125","1172.749267578125","1172.749267578125","","","","","",""
"2651","1443.0325927734375","1443.0325927734375","1443.0325927734375","","","","","","","","",""
"2652","","","","","","","4990.3759765625","4990.3759765625","4990.3759765625","","",""
"2653","1452.576416015625","1452.576416015625","1452.576416015625","1186.753173828125","1186.753173828125","1186.753173828125","","","","","",""
"2654","","","","","","","","","","1706.859130859375","1706.859130859375","1706.859130859375"
"2656","1430.72119140625","1430.72119140625","1430.72119140625","","","","","","","","",""
"2659","1433.5303955078125","1433.5303955078125","1433.5303955078125","","","","","","","","",""
"2664","","","","1173.239990234375","1173.239990234375","1173.239990234375","","","","","",""
"2665","1432.484375","1432.484375","1432.484375","","","","","","","","",""
"2666","","","","","","","","","","1702.7979736328125","1702.7979736328125","1702.7979736328125"
"2667","","","","","","","5239.23291015625","5239.23291015625","5239.23291015625","","",""
"2670","","","","","","","5212.904296875","5212.904296875","5212.904296875","","",""
"2675","","","","","","","","","","1697.9150390625","1697.9150390625","1697.9150390625"
"2677","1444.031494140625","1444.031494140625","1444.031494140625","","","","","","","","",""
"2681","","","","","","","4877.04150390625","4877.04150390625","4877.04150390625","","",""
"2683","","","","1173.8194580078125","1173.8194580078125","1173.8194580078125","5039.8388671875","5039.8388671875","5039.8388671875","1706.873779296875","1706.873779296875","1706.873779296875"
"2686","","","","1167.799560546875","1167.799560546875","1167.799560546875","","","","1696.239013671875","1696.239013671875","1696.239013671875"
"2687","1424.8740234375","1424.8740234375","1424.8740234375","","","","4993.46875","4993.46875","4993.46875","","",""
"2690","1440.1046142578125","1440.1046142578125","1440.1046142578125","","","","","","","","",""
"2692","1435.5093994140625","1435.5093994140625","1435.5093994140625","","","","","","","","",""
"2696","1429.5706787109375","1429.5706787109375","1429.5706787109375","","","","","","","","",""
"2703","1434.639404296875","1434.639404296875","1434.639404296875","","","","4902.6513671875","4902.6513671875","4902.6513671875","","",""
"2704","","","","","","","5127.8916015625","5127.8916015625","5127.8916015625","","",""
"2708","","","","","","","","","","1689.098388671875","1689.098388671875","1689.098388671875"
"2709","1417.07568359375","1417.07568359375","1417.07568359375","","","","5169.732421875","5169.732421875","5169.732421875","","",""
"2714","","","","","","","4874.876953125","4874.876953125","4874.876953125","","",""
"2715","","","","","","","","","","1683.941162109375","1683.941162109375","1683.941162109375"
"2716","","","","1159.312255859375","1159.312255859375","1159.312255859375","","","","","",""
"2725","","","","","","","","","","1698.620849609375","1698.620849609375","1698.620849609375"
"2728","","","","1162.30810546875","1162.30810546875","1162.30810546875","","","","","",""
"2729","","","","1168.99609375","1168.99609375","1168.99609375","","","","","",""
"2732","","","","","","","4941.3203125","4941.3203125","4941.3203125","","",""
"2734","1433.126953125","1433.126953125","1433.126953125","","","","","","","","",""
"2736","","","","","","","4911.556640625","4911.556640625","4911.556640625","1682.6925048828125","1682.6925048828125","1682.6925048828125"
"2740","","","","","","","","","","1682.5616455078125","1682.5616455078125","1682.5616455078125"
"2741","1430.970458984375","1430.970458984375","1430.970458984375","","","","","","","","",""
"2746","","","","","","","4534.29150390625","4534.29150390625","4534.29150390625","1669.004638671875","1669.004638671875","1669.004638671875"
"2748","","","","","","","4661.6513671875","4661.6513671875","4661.6513671875","","",""
"2751","","","","","","","4752.2763671875","4752.2763671875","4752.2763671875","","",""
"2756","1420.9322509765625","1420.9322509765625","1420.9322509765625","","","","","","","","",""
"2759","","","","","","","4397.52099609375","4397.52099609375","4397.52099609375","","",""
"2760","","","","","","","4524.48486328125","4524.48486328125","4524.48486328125","","",""
"2761","","","","1160.482177734375","1160.482177734375","1160.482177734375","","","","","",""
"2762","","","","1164.712158203125","1164.712158203125","1164.712158203125","","","","","",""
"2763","","","","1176.74267578125","1176.74267578125","1176.74267578125","","","","","",""
"2766","","","","","","","","","","1677.83935546875","1677.83935546875","1677.83935546875"
"2767","1424.33935546875","1424.33935546875","1424.33935546875","","","","4479.7470703125","4479.7470703125","4479.7470703125","","",""
"2774","","","","","","","","","","1703.761474609375","1703.761474609375","1703.761474609375"
"2775","","","","","","","","","","1688.2957763671875","1688.2957763671875","1688.2957763671875"
"2777","1422.611328125","1422.611328125","1422.611328125","","","","4503.3037109375","4503.3037109375","4503.3037109375","","",""
"2778","","","","","","","4745.115234375","4745.115234375","4745.115234375","1685.467529296875","1685.467529296875","1685.467529296875"
"2780","1431.414794921875","1431.414794921875","1431.414794921875","","","","","","","","",""
"2781","","","","","","","4616.197265625","4616.197265625","4616.197265625","","",""
"2790","1418.977783203125","1418.977783203125","1418.977783203125","","","","","","","","",""
"2791","1423.2203369140625","1423.2203369140625","1423.2203369140625","","","","","","","","",""
"2797","1422.413818359375","1422.413818359375","1422.413818359375","","","","","","","","",""
"2799","1420.0850830078125","1420.0850830078125","1420.0850830078125","","","","","","","","",""
"2801","1406.237548828125","1406.237548828125","1406.237548828125","","","","","","","","",""
"2806","","","","","","","","","","1668.33740234375","1668.33740234375","1668.33740234375"
"2809","1410.735107421875","1410.735107421875","1410.735107421875","","","","4201.2802734375","4201.2802734375","4201.2802734375","","",""
"2815","","","","","","","","","","1677.4459228515625","1677.4459228515625","1677.4459228515625"
"2821","","","","","","","4851.2099609375","4851.2099609375","4851.2099609375","","",""
"2823","1424.04150390625","1424.04150390625","1424.04150390625","","","","","","","","",""
"2824","1422.1995849609375","1422.1995849609375","1422.1995849609375","","","","4600.740234375","4600.740234375","4600.740234375","1684.992919921875","1684.992919921875","1684.992919921875"
"2825","","","","","","","","","","1656.7109375","1656.7109375","1656.7109375"
"2829","","","","1156.4454345703125","1156.4454345703125","1156.4454345703125","","","","","",""
"2830","","","","","","","4269.0078125","4269.0078125","4269.0078125","","",""
"2831","","","","1150.5821533203125","1150.5821533203125","1150.5821533203125","","","","","",""
"2835","","","","1160.88330078125","1160.88330078125","1160.88330078125","","","","","",""
"2838","1411.230224609375","1411.230224609375","1411.230224609375","","","","","","","1674.6051025390625","1674.6051025390625","1674.6051025390625"
"2839","1417.1448974609375","1417.1448974609375","1417.1448974609375","","","","","","","","",""
"2842","","","","","","","4266.73828125","4266.73828125","4266.73828125","","",""
"2847","","","","","","","4266.36767578125","4266.36767578125","4266.36767578125","","",""
"2848","","","","","","","4517.19921875","4517.19921875","4517.19921875","","",""
"2858","1408.9090576171875","1408.9090576171875","1408.9090576171875","","","","","","","","",""
"2860","","","","","","","4470.2353515625","4470.2353515625","4470.2353515625","1673.0792236328125","1673.0792236328125","1673.0792236328125"
"2861","","","","1150.9666748046875","1150.9666748046875","1150.9666748046875","","","","","",""
"2862","1420.045654296875","1420.045654296875","1420.045654296875","","","","","","","","",""
"2863","","","","1149.3380126953125","1149.3380126953125","1149.3380126953125","","","","","",""
"2869","","","","","","","4264.3583984375","4264.3583984375","4264.3583984375","1661.34521484375","1661.34521484375","1661.34521484375"
"2871","1413.5347900390625","1413.5347900390625","1413.5347900390625","","","","","","","","",""
"2873","1427.92041015625","1427.92041015625","1427.92041015625","","","","","","","","",""
"2879","","","","","","","4597.77685546875","4597.77685546875","4597.77685546875","","",""
"2881","1399.6412353515625","1399.6412353515625","1399.6412353515625","","","","","","","1661.0516357421875","1661.0516357421875","1661.0516357421875"
"2885","","","","","","","4223.8271484375","4223.8271484375","4223.8271484375","","",""
"2888","","","","","","","4372.9130859375","4372.9130859375","4372.9130859375","","",""
"2891","","","","","","","","","","1672.6505126953125","1672.6505126953125","1672.6505126953125"
"2895","","","","1139.620361328125","1139.620361328125","1139.620361328125","","","","1652.806884765625","1652.806884765625","1652.806884765625"
"2896","","","","","","","4407.0087890625","4407.0087890625","4407.0087890625","1666.2513427734375","1666.2513427734375","1666.2513427734375"
"2899","","","","1158.1483154296875","1158.1483154296875","1158.1483154296875","","","","1679.5396728515625","1679.5396728515625","1679.5396728515625"
"2901","1405.534423828125","1405.534423828125","1405.534423828125","","","","","","","","",""
"2902","","","","1149.699462890625","1149.699462890625","1149.699462890625","","","","","",""
"2903","1411.19482421875","1411.19482421875","1411.19482421875","","","","","","","","",""
"2908","","","","","","","4486.7822265625","4486.7822265625","4486.7822265625","","",""
"2909","","","","1140.571533203125","1140.571533203125","1140.571533203125","","","","","",""
"2911","1406.7265625","1406.7265625","1406.7265625","","","","","","","","",""
"2914","","","","","","","4239.98388671875","4239.98388671875","4239.98388671875","1663.684326171875","1663.684326171875","1663.684326171875"
"2916","1409.265625","1409.265625","1409.265625","","","","","","","","",""
"2917","","","","","","","4125.9921875","4125.9921875","4125.9921875","1663.4404296875","1663.4404296875","1663.4404296875"
"2918","","","","","","","","","","1665.887939453125","1665.887939453125","1665.887939453125"
"2919","1403.16943359375","1403.16943359375","1403.16943359375","","","","","","","","",""
"2920","","","","1141.518798828125","1141.518798828125","1141.518798828125","","","","","",""
"2922","","","","1143.168701171875","1143.168701171875","1143.168701171875","4144.4306640625","4144.4306640625","4144.4306640625","1660.1044921875","1660.1044921875","1660.1044921875"
"2927","","","","1144.659912109375","1144.659912109375","1144.659912109375","","","","","",""
"2928","","","","1151.965576171875","1151.965576171875","1151.965576171875","","","","","",""
"2930","","","","","","","4388.8837890625","4388.8837890625","4388.8837890625","1662.341552734375","1662.341552734375","1662.341552734375"
"2932","","","","","","","","","","1657.17626953125","1657.17626953125","1657.17626953125"
"2936","1399.5345458984375","1399.5345458984375","1399.5345458984375","1143.51171875","1143.51171875","1143.51171875","","","","","",""
"2937","1398.2109375","1398.2109375","1398.2109375","","","","4302.4248046875","4302.4248046875","4302.4248046875","","",""
"2939","","","","","","","","","","1649.5081787109375","1649.5081787109375","1649.5081787109375"
"2940","","","","","","","4232.4052734375","4232.4052734375","4232.4052734375","","",""
"2942","","","","","","","4289.814453125","4289.814453125","4289.814453125","","",""
"2943","","","","","","","","","","1665.75830078125","1665.75830078125","1665.75830078125"
"2944","","","","","","","4152.07861328125","4152.07861328125","4152.07861328125","","",""
"2947","","","","","","","","","","1636.350830078125","1636.350830078125","1636.350830078125"
"2949","","","","1147.73681640625","1147.73681640625","1147.73681640625","","","","","",""
"2951","1408.2509765625","1408.2509765625","1408.2509765625","","","","","","","","",""
"2952","","","","","","","","","","1667.2940673828125","1667.2940673828125","1667.2940673828125"
"2953","1397.451416015625","1397.451416015625","1397.451416015625","","","","","","","","",""
"2954","1391.510986328125","1391.510986328125","1391.510986328125","1136.927734375","1136.927734375","1136.927734375","","","","","",""
"2958","","","","1145.2696533203125","1145.2696533203125","1145.2696533203125","","","","1657.9342041015625","1657.9342041015625","1657.9342041015625"
"2962","","","","","","","","","","1673.585693359375","1673.585693359375","1673.585693359375"
"2964","1382.5733642578125","1382.5733642578125","1382.5733642578125","","","","","","","","",""
"2966","1395.552734375","1395.552734375","1395.552734375","","","","","","","","",""
"2969","","","","1135.82958984375","1135.82958984375","1135.82958984375","","","","","",""
"2975","","","","","","","","","","1667.052978515625","1667.052978515625","1667.052978515625"
"2976","","","","1132.5721435546875","1132.5721435546875","1132.5721435546875","","","","","",""
"2977","1389.09912109375","1389.09912109375","1389.09912109375","","","","","","","","",""
"2982","","","","","","","","","","1663.320556640625","1663.320556640625","1663.320556640625"
"2983","","","","","","","","","","1648.309326171875","1648.309326171875","1648.309326171875"
"2987","1388.54638671875","1388.54638671875","1388.54638671875","","","","","","","","",""
"2988","","","","1130.1339111328125","1130.1339111328125","1130.1339111328125","","","","","",""
"2992","1386.3251953125","1386.3251953125","1386.3251953125","","","","","","","","",""
"2993","","","","1136.7296142578125","1136.7296142578125","1136.7296142578125","","","","","",""
"2998","1384.1142578125","1384.1142578125","1384.1142578125","","","","3983.69482421875","3983.69482421875","3983.69482421875","","",""
"3004","","","","","","","4340.8525390625","4340.8525390625","4340.8525390625","","",""
"3005","","","","","","","","","","1640.9290771484375","1640.9290771484375","1640.9290771484375"
"3006","","","","","","","","","","1650.867919921875","1650.867919921875","1650.867919921875"
"3012","","","","","","","","","","1659.0330810546875","1659.0330810546875","1659.0330810546875"
"3016","1404.4384765625","1404.4384765625","1404.4384765625","","","","","","","","",""
"3020","","","","","","","3887.6669921875","3887.6669921875","3887.6669921875","","",""
"3021","","","","","","","3970.548828125","3970.548828125","3970.548828125","","",""
"3025","","","","1137.29052734375","1137.29052734375","1137.29052734375","","","","","",""
"3028","","","","1136.4815673828125","1136.4815673828125","1136.4815673828125","","","","","",""
"3029","","","","","","","3932.78369140625","3932.78369140625","3932.78369140625","","",""
"3033","","","","","","","","","","1642.843505859375","1642.843505859375","1642.843505859375"
"3035","1387.588134765625","1387.588134765625","1387.588134765625","","","","","","","","",""
"3038","","","","","","","4210.7255859375","4210.7255859375","4210.7255859375","1653.055908203125","1653.055908203125","1653.055908203125"
"3039","1388.57666015625","1388.57666015625","1388.57666015625","","","","","","","","",""
"3045","","","","1132.2725830078125","1132.2725830078125","1132.2725830078125","","","","","",""
"3051","","","","","","","","","","1638.90966796875","1638.90966796875","1638.90966796875"
"3057","1395.3414306640625","1395.3414306640625","1395.3414306640625","","","","4080.9580078125","4080.9580078125","4080.9580078125","","",""
"3058","1386.944091796875","1386.944091796875","1386.944091796875","","","","","","","","",""
"3059","1394.460693359375","1394.460693359375","1394.460693359375","","","","","","","","",""
"3062","","","","1128.5823974609375","1128.5823974609375","1128.5823974609375","","","","","",""
"3063","","","","","","","4070.1943359375","4070.1943359375","4070.1943359375","","",""
"3064","","","","","","","","","","1656.1455078125","1656.1455078125","1656.1455078125"
"3066","","","","","","","3945.943359375","3945.943359375","3945.943359375","1650.323486328125","1650.323486328125","1650.323486328125"
"3069","1394.075439453125","1394.075439453125","1394.075439453125","","","","","","","","",""
"3075","","","","1123.89990234375","1123.89990234375","1123.89990234375","","","","","",""
"3076","","","","","","","3930.263671875","3930.263671875","3930.263671875","","",""
"3081","1376.89990234375","1376.89990234375","1376.89990234375","","","","","","","","",""
"3083","","","","","","","3965.0712890625","3965.0712890625","3965.0712890625","","",""
"3084","","","","","","","","","","1655.1273193359375","1655.1273193359375","1655.1273193359375"
"3088","1381.45458984375","1381.45458984375","1381.45458984375","","","","","","","","",""
"3089","1383.1005859375","1383.1005859375","1383.1005859375","","","","","","","","",""
"3090","","","","1131.358642578125","1131.358642578125","1131.358642578125","","","","","",""
"3096","","","","","","","","","","1653.8524169921875","1653.8524169921875","1653.8524169921875"
"3099","1378.18017578125","1378.18017578125","1378.18017578125","","","","","","","","",""
"3101","1377.747314453125","1377.747314453125","1377.747314453125","","","","","","","","",""
"3102","","","","","","","3891.497802734375","3891.497802734375","3891.497802734375","","",""
"3110","","","","1130.79833984375","1130.79833984375","1130.79833984375","","","","","",""
"3112","","","","1124.2821044921875","1124.2821044921875","1124.2821044921875","","","","","",""
"3113","","","","1138.156494140625","1138.156494140625","1138.156494140625","","","","","",""
"3116","1383.99169921875","1383.99169921875","1383.99169921875","","","","","","","","",""
"3122","1377.649658203125","1377.649658203125","1377.649658203125","","","","","","","","",""
"3125","1373.8343505859375","1373.8343505859375","1373.8343505859375","","","","","","","","",""
"3126","1382.400146484375","1382.400146484375","1382.400146484375","","","","3771.64892578125","3771.64892578125","3771.64892578125","1640.861572265625","1640.861572265625","1640.861572265625"
"3127","1365.818359375","1365.818359375","1365.818359375","1117.8729248046875","1117.8729248046875","1117.8729248046875","","","","","",""
"3129","1378.2462158203125","1378.2462158203125","1378.2462158203125","","","","","","","","",""
"3130","","","","","","","4079.3984375","4079.3984375","4079.3984375","","",""
"3134","","","","1115.6351318359375","1115.6351318359375","1115.6351318359375","3950.23681640625","3950.23681640625","3950.23681640625","","",""
"3139","1373.69140625","1373.69140625","1373.69140625","","","","","","","","",""
"3140","1368.064208984375","1368.064208984375","1368.064208984375","","","","","","","1626.1434326171875","1626.1434326171875","1626.1434326171875"
"3141","1394.23486328125","1394.23486328125","1394.23486328125","","","","","","","","",""
"3145","","","","1118.4796142578125","1118.4796142578125","1118.4796142578125","","","","","",""
"3156","","","","1117.6259765625","1117.6259765625","1117.6259765625","","","","","",""
"3161","","","","","","","","","","1636.4423828125","1636.4423828125","1636.4423828125"
"3164","1380.4447021484375","1380.4447021484375","1380.4447021484375","1128.1778564453125","1128.1778564453125","1128.1778564453125","","","","","",""
"3167","1365.8392333984375","1365.8392333984375","1365.8392333984375","","","","","","","","",""
"3168","","","","","","","","","","1614.189453125","1614.189453125","1614.189453125"
"3173","1380.4462890625","1380.4462890625","1380.4462890625","","","","","","","1637.568115234375","1637.568115234375","1637.568115234375"
"3174","","","","1123.5977783203125","1123.5977783203125","1123.5977783203125","","","","","",""
"3176","","","","1119.533447265625","1119.533447265625","1119.533447265625","","","","","",""
"3177","1376.0321044921875","1376.0321044921875","1376.0321044921875","","","","","","","1631.69384765625","1631.69384765625","1631.69384765625"
"3184","1360.483642578125","1360.483642578125","1360.483642578125","","","","","","","","",""
"3185","","","","","","","","","","1630.935302734375","1630.935302734375","1630.935302734375"
"3186","","","","1133.385009765625","1133.385009765625","1133.385009765625","","","","","",""
"3187","1366.3037109375","1366.3037109375","1366.3037109375","","","","","","","","",""
"3190","","","","","","","","","","1611.8587646484375","1611.8587646484375","1611.8587646484375"
"3192","","","","1116.8441162109375","1116.8441162109375","1116.8441162109375","","","","","",""
"3196","","","","1115.821533203125","1115.821533203125","1115.821533203125","","","","","",""
"3198","","","","","","","3573.3984375","3573.3984375","3573.3984375","","",""
"3199","","","","","","","","","","1626.361328125","1626.361328125","1626.361328125"
"3203","","","","1128.298583984375","1128.298583984375","1128.298583984375","","","","","",""
"3204","","","","","","","","","","1630.440673828125","1630.440673828125","1630.440673828125"
"3205","1361.5130615234375","1361.5130615234375","1361.5130615234375","","","","","","","","",""
"3209","","","","","","","","","","1626.123291015625","1626.123291015625","1626.123291015625"
"3211","","","","1124.232177734375","1124.232177734375","1124.232177734375","3635.98876953125","3635.98876953125","3635.98876953125","1632.14990234375","1632.14990234375","1632.14990234375"
"3218","","","","1114.697265625","1114.697265625","1114.697265625","3564.039306640625","3564.039306640625","3564.039306640625","","",""
"3220","","","","","","","3698.21240234375","3698.21240234375","3698.21240234375","","",""
"3228","1378.434326171875","1378.434326171875","1378.434326171875","","","","","","","","",""
"3236","","","","","","","3623.82470703125","3623.82470703125","3623.82470703125","","",""
"3237","1356.3818359375","1356.3818359375","1356.3818359375","","","","","","","","",""
"3240","1370.95751953125","1370.95751953125","1370.95751953125","","","","","","","","",""
"3245","","","","","","","","","","1652.1453857421875","1652.1453857421875","1652.1453857421875"
"3246","1375.8179931640625","1375.8179931640625","1375.8179931640625","","","","","","","","",""
"3247","","","","1119.78857421875","1119.78857421875","1119.78857421875","3647.3154296875","3647.3154296875","3647.3154296875","","",""
"3250","1362.8233642578125","1362.8233642578125","1362.8233642578125","","","","","","","1619.350830078125","1619.350830078125","1619.350830078125"
"3251","","","","","","","3781.2021484375","3781.2021484375","3781.2021484375","","",""
"3253","1365.043701171875","1365.043701171875","1365.043701171875","","","","","","","","",""
"3257","","","","","","","3607.937744140625","3607.937744140625","3607.937744140625","","",""
"3259","","","","","","","3428.689697265625","3428.689697265625","3428.689697265625","","",""
"3260","","","","1109.9183349609375","1109.9183349609375","1109.9183349609375","","","","","",""
"3261","","","","","","","3653.70068359375","3653.70068359375","3653.70068359375","1629.2034912109375","1629.2034912109375","1629.2034912109375"
"3263","","","","","","","","","","1621.462646484375","1621.462646484375","1621.462646484375"
"3267","","","","","","","","","","1619.068603515625","1619.068603515625","1619.068603515625"
"3273","","","","","","","3563.521484375","3563.521484375","3563.521484375","1614.74462890625","1614.74462890625","1614.74462890625"
"3275","","","","","","","","","","1619.154052734375","1619.154052734375","1619.154052734375"
"3279","","","","1114.98876953125","1114.98876953125","1114.98876953125","","","","","",""
"3295","","","","","","","3427.931640625","3427.931640625","3427.931640625","1633.00341796875","1633.00341796875","1633.00341796875"
"3296","1351.332275390625","1351.332275390625","1351.332275390625","","","","","","","","",""
"3297","","","","","","","3353.4951171875","3353.4951171875","3353.4951171875","","",""
"3299","","","","1110.29052734375","1110.29052734375","1110.29052734375","","","","","",""
"3306","","","","","","","","","","1592.948486328125","1592.948486328125","1592.948486328125"
"3309","","","","","","","3430.0419921875","3430.0419921875","3430.0419921875","","",""
"3311","1364.477783203125","1364.477783203125","1364.477783203125","","","","","","","","",""
"3312","","","","1102.8360595703125","1102.8360595703125","1102.8360595703125","","","","","",""
"3315","","","","1100.91162109375","1100.91162109375","1100.91162109375","","","","","",""
"3319","","","","1101.419921875","1101.419921875","1101.419921875","","","","","",""
"3328","1358.722412109375","1358.722412109375","1358.722412109375","","","","","","","","",""
"3329","","","","1099.518798828125","1099.518798828125","1099.518798828125","","","","","",""
"3331","1355.320068359375","1355.320068359375","1355.320068359375","","","","","","","","",""
"3333","","","","","","","3379.15087890625","3379.15087890625","3379.15087890625","","",""
"3335","1359.270751953125","1359.270751953125","1359.270751953125","1110.8365478515625","1110.8365478515625","1110.8365478515625","","","","","",""
"3339","","","","","","","3344.0341796875","3344.0341796875","3344.0341796875","","",""
"3342","","","","","","","3371.4580078125","3371.4580078125","3371.4580078125","","",""
"3343","","","","","","","3504.88818359375","3504.88818359375","3504.88818359375","","",""
"3345","1351.2271728515625","1351.2271728515625","1351.2271728515625","","","","3386.225341796875","3386.225341796875","3386.225341796875","","",""
"3349","1352.40478515625","1352.40478515625","1352.40478515625","","","","","","","","",""
"3358","","","","1103.7877197265625","1103.7877197265625","1103.7877197265625","","","","","",""
"3369","1348.4322509765625","1348.4322509765625","1348.4322509765625","","","","3393.13623046875","3393.13623046875","3393.13623046875","","",""
"3372","","","","","","","3361.3134765625","3361.3134765625","3361.3134765625","","",""
"3375","1346.372314453125","1346.372314453125","1346.372314453125","","","","","","","","",""
"3377","","","","","","","3330.882080078125","3330.882080078125","3330.882080078125","","",""
"3380","1347.6612548828125","1347.6612548828125","1347.6612548828125","","","","","","","","",""
"3381","1357.140380859375","1357.140380859375","1357.140380859375","","","","","","","","",""
"3386","","","","1097.1805419921875","1097.1805419921875","1097.1805419921875","3308.03759765625","3308.03759765625","3308.03759765625","","",""
"3389","","","","","","","","","","1609.1171875","1609.1171875","1609.1171875"
"3390","","","","","","","3433.223388671875","3433.223388671875","3433.223388671875","","",""
"3395","","","","","","","","","","1598.254150390625","1598.254150390625","1598.254150390625"
"3396","","","","1101.79736328125","1101.79736328125","1101.79736328125","","","","","",""
"3397","1343.08984375","1343.08984375","1343.08984375","1098.401611328125","1098.401611328125","1098.401611328125","","","","","",""
"3398","","","","","","","","","","1595.2197265625","1595.2197265625","1595.2197265625"
"3409","","","","1091.2353515625","1091.2353515625","1091.2353515625","","","","","",""
"3410","","","","","","","3304.49658203125","3304.49658203125","3304.49658203125","","",""
"3411","","","","","","","3378.7421875","3378.7421875","3378.7421875","1613.2109375","1613.2109375","1613.2109375"
"3412","","","","","","","3402.2021484375","3402.2021484375","3402.2021484375","","",""
"3419","","","","1093.7027587890625","1093.7027587890625","1093.7027587890625","","","","","",""
"3420","1349.789794921875","1349.789794921875","1349.789794921875","","","","","","","","",""
"3422","","","","","","","3306.98974609375","3306.98974609375","3306.98974609375","","",""
"3424","1346.7811279296875","1346.7811279296875","1346.7811279296875","","","","","","","","",""
"3426","1338.5947265625","1338.5947265625","1338.5947265625","","","","","","","","",""
