,l0,mse_loss,frac_recovered,delta_ce
2,8.0,2219.68701171875,0.9644190669059752,0.49935078620910645
3,16.0,1562.1041259765625,0.9841692447662354,0.2268538475036621
4,32.0,1142.533447265625,0.9910413026809692,0.12572836875915527
5,48.0,991.705810546875,0.9935886263847352,0.0918736457824707
6,64.0,888.516845703125,0.9945665597915648,0.07625389099121094
7,96.0,761.394287109375,0.9957606792449952,0.060749053955078125
0,128.0,661.279541015625,0.9967961311340332,0.04496359825134277
1,192.0,522.2657470703125,0.9979140758514404,0.029891014099121094
