"Name","State","Notes","User","Tags","Created","Runtime","Sweep","SwitchAutoEncoder-0.activation_dim","SwitchAutoEncoder-0.auxk_alpha","SwitchAutoEncoder-0.decay_start","SwitchAutoEncoder-0.device","SwitchAutoEncoder-0.dict_class","SwitchAutoEncoder-0.dict_size","SwitchAutoEncoder-0.experts","SwitchAutoEncoder-0.heaviside","SwitchAutoEncoder-0.k","SwitchAutoEncoder-0.layer","SwitchAutoEncoder-0.lm_name","SwitchAutoEncoder-0.seed","SwitchAutoEncoder-0.steps","SwitchAutoEncoder-0.trainer","SwitchAutoEncoder-0.wandb_name","SwitchAutoEncoder-1.activation_dim","SwitchAutoEncoder-1.auxk_alpha","SwitchAutoEncoder-1.decay_start","SwitchAutoEncoder-1.device","SwitchAutoEncoder-1.dict_class","SwitchAutoEncoder-1.dict_size","SwitchAutoEncoder-1.experts","SwitchAutoEncoder-1.heaviside","SwitchAutoEncoder-1.k","SwitchAutoEncoder-1.layer","SwitchAutoEncoder-1.lm_name","SwitchAutoEncoder-1.seed","SwitchAutoEncoder-1.steps","SwitchAutoEncoder-1.trainer","SwitchAutoEncoder-1.wandb_name","SwitchAutoEncoder-0/auxk_loss","SwitchAutoEncoder-0/cossim","SwitchAutoEncoder-0/dead_features","SwitchAutoEncoder-0/effective_l0","SwitchAutoEncoder-0/frac_alive","SwitchAutoEncoder-0/frac_recovered","SwitchAutoEncoder-0/frac_variance_explained","SwitchAutoEncoder-0/l0","SwitchAutoEncoder-0/l1_loss","SwitchAutoEncoder-0/l2_loss","SwitchAutoEncoder-0/l2_ratio","SwitchAutoEncoder-0/loss","SwitchAutoEncoder-0/loss_original","SwitchAutoEncoder-0/loss_reconstructed","SwitchAutoEncoder-0/loss_zero","SwitchAutoEncoder-0/mse_loss","SwitchAutoEncoder-1/auxk_loss","SwitchAutoEncoder-1/cossim","SwitchAutoEncoder-1/dead_features","SwitchAutoEncoder-1/effective_l0","SwitchAutoEncoder-1/frac_alive","SwitchAutoEncoder-1/frac_recovered","SwitchAutoEncoder-1/frac_variance_explained","SwitchAutoEncoder-1/l0","SwitchAutoEncoder-1/l1_loss","SwitchAutoEncoder-1/l2_loss","SwitchAutoEncoder-1/l2_ratio","SwitchAutoEncoder-1/loss","SwitchAutoEncoder-1/loss_original","SwitchAutoEncoder-1/loss_reconstructed","SwitchAutoEncoder-1/loss_zero","SwitchAutoEncoder-1/mse_loss"
"leafy-frost-5","finished","-","","","2024-07-13T06:09:56.000Z","44661","","768","0.03125","80000","cuda:4","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","128","8","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:4","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","true","128","8","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.00003293702320661396","0.970380425453186","2266","128","0.00004069010537932627","0.9954178333282472","0.9893406629562378","346.756103515625","929.089599609375","27.995044708251953","0.970288336277008","846.9383544921875","3.3303747177124023","3.394681453704834","17.364582061767578","856.46142578125","0","0.9639195203781128","0","128","0.00004069010537932627","0.9934381246566772","0.987186849117279","344.84912109375","932.871826171875","31.138887405395508","0.9640032052993774","1024.9150390625","3.26992130279541","3.363952159881592","17.59981346130371","1037.333251953125"
"winter-moon-4","finished","-","","","2024-07-13T06:09:42.000Z","44679","","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","64","8","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","true","64","8","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.00003745846333913505","0.9611231684684752","2292","64","0.00004069010537932627","0.9918711185455322","0.9860854744911194","221.5013427734375","616.9510498046875","32.06147384643555","0.9609488248825072","1105.567626953125","3.3303747177124023","3.4444570541381836","17.364582061767578","1118.0126953125","0","0.9514711499214172","0","64","0.00004069010537932627","0.9890355467796326","0.9828994274139404","234.9410400390625","667.9144287109375","35.96377182006836","0.9516751170158386","1366.359130859375","3.26992130279541","3.4270408153533936","17.59981346130371","1384.42578125"
"likely-aardvark-3","finished","-","","","2024-07-13T06:09:22.000Z","43728","","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","32","8","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","true","32","8","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.00004270674253348261","0.9505878686904908","3495","32","0.00004069010537932627","0.9869770407676696","0.9824159145355223","147.52978515625","473.6759033203125","36.09650421142578","0.9501758217811584","1390.8076171875","3.3303747177124023","3.5131418704986572","17.364582061767578","1412.8662109375","0","0.9392642974853516","0","32","0.00004069010537932627","0.9821312427520752","0.9787499904632568","158.9560546875","509.13079833984375","40.07820129394531","0.9391745328903198","1695.3155517578125","3.26992130279541","3.5259788036346436","17.59981346130371","1720.351806640625"
"genial-dawn-2","finished","-","","","2024-07-13T06:09:08.000Z","46116","","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","8","8","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","true","8","8","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.00006340954860206693","0.91660076379776","14566","8","0.00004069010537932627","0.9605113863945008","0.970811665058136","115.51416015625","384.5042419433594","46.83196258544922","0.9166349172592164","2320.48779296875","3.3303747177124023","3.884566307067871","17.364582061767578","2345.244384765625","0.00006867974298074841","0.905162513256073","6606","8","0.00004069010537932627","0.9520765542984008","0.967352032661438","137.64208984375","417.4818420410156","49.77260971069336","0.905208945274353","2604.93310546875","3.26992130279541","3.9566588401794434","17.59981346130371","2643.10888671875"
