,experts,heaviside,l0,mse_loss,frac_recovered,loss_original,loss_reconstructed,delta_ce
7,16.0,1.0,8.0,2643.10888671875,0.9520765542984008,3.26992130279541,3.9566588401794434,0.6867375373840332
5,16.0,1.0,32.0,1720.351806640625,0.9821312427520752,3.26992130279541,3.525978803634644,0.25605750083923384
3,16.0,1.0,64.0,1384.42578125,0.9890355467796326,3.26992130279541,3.4270408153533936,0.1571195125579834
1,16.0,1.0,128.0,1037.333251953125,0.9934381246566772,3.26992130279541,3.363952159881592,0.09403085708618164
