,experts,heaviside,l0,mse_loss,frac_recovered,loss_original,loss_reconstructed,delta_ce
6,16.0,0.0,8.0,2345.244384765625,0.9605113863945008,3.3303747177124023,3.884566307067871,0.5541915893554688
4,16.0,0.0,32.0,1412.8662109375,0.9869770407676696,3.3303747177124023,3.513141870498657,0.18276715278625444
2,16.0,0.0,64.0,1118.0126953125,0.9918711185455322,3.3303747177124023,3.444457054138184,0.1140823364257817
0,16.0,0.0,128.0,856.46142578125,0.9954178333282472,3.3303747177124023,3.394681453704834,0.06430673599243164
