,l0,mse_loss,frac_recovered,delta_ce
1,16.97021484375,3336.4921875,0.9437114000320436,0.8066086769104004
3,21.419921875,2474.707763671875,0.9623249769210817,0.5398788452148438
5,31.735595703125,1932.8282470703125,0.974922776222229,0.35935378074645996
4,44.6102294921875,1713.539306640625,0.979756772518158,0.28409790992736816
7,53.3970947265625,1546.72998046875,0.9833840727806092,0.23810505867004395
6,75.8472900390625,1370.767333984375,0.9866704344749452,0.18707013130187988
9,101.04296875,1230.6522216796875,0.9891743063926696,0.15513181686401367
8,150.755615234375,1069.6497802734375,0.9915485978126526,0.11860823631286666
