,experts,heaviside,l0,mse_loss,frac_recovered,loss_original,loss_reconstructed,delta_ce
6,32.0,0.0,8.0,2777.88037109375,0.9470147490501404,3.3303747177124023,4.07397985458374,0.7436051368713379
4,32.0,0.0,32.0,1961.71533203125,0.9775823354721068,3.3303747177124023,3.644989013671875,0.31461429595947266
2,32.0,0.0,64.0,1601.124267578125,0.9863285422325134,3.3303747177124023,3.522242307662964,0.19186758995056152
0,32.0,0.0,128.0,1182.766845703125,0.9926341772079468,3.3303747177124023,3.433748245239258,0.10337352752685547
