,experts,heaviside,l0,mse_loss,frac_recovered,loss_original,loss_reconstructed,delta_ce
14,16.0,0.0,8.0,2645.724365234375,0.951539933681488,3.3303747177124023,4.010473728179932,0.6800990104675293
12,16.0,0.0,32.0,1723.945068359375,0.9816445112228394,3.3303747177124023,3.5879790782928467,0.25760436058044434
10,16.0,0.0,64.0,1386.48486328125,0.9888013005256652,3.3303747177124023,3.4875388145446777,0.1571640968322754
8,16.0,0.0,128.0,1036.72705078125,0.9935920238494872,3.3303747177124023,3.4203054904937744,0.08993077278137207
