,experts,heaviside,l0,mse_loss,frac_recovered,loss_original,loss_reconstructed,delta_ce
7,32.0,1.0,8.0,2802.4365234375,0.9455756545066832,3.26992130279541,4.049816608428955,0.7798953056335449
5,32.0,1.0,32.0,1981.042724609375,0.9768905639648438,3.26992130279541,3.60107684135437,0.33115553855895996
3,32.0,1.0,64.0,1615.8338623046875,0.986000120639801,3.26992130279541,3.470538377761841,0.20061707496643066
1,32.0,1.0,128.0,1192.3837890625,0.992091178894043,3.26992130279541,3.383254051208496,0.11333274841308594
