"Name","State","Notes","User","Tags","Created","Runtime","Sweep","GatedSAETrainer-0.activation_dim","GatedSAETrainer-0.device","GatedSAETrainer-0.dict_class","GatedSAETrainer-0.dict_size","GatedSAETrainer-0.l1_penalty","GatedSAETrainer-0.layer","GatedSAETrainer-0.lm_name","GatedSAETrainer-0.lr","GatedSAETrainer-0.seed","GatedSAETrainer-0.trainer","GatedSAETrainer-0.wandb_name","GatedSAETrainer-0.warmup_steps","GatedSAETrainer-1.activation_dim","GatedSAETrainer-1.device","GatedSAETrainer-1.dict_class","GatedSAETrainer-1.dict_size","GatedSAETrainer-1.l1_penalty","GatedSAETrainer-1.layer","GatedSAETrainer-1.lm_name","GatedSAETrainer-1.lr","GatedSAETrainer-1.seed","GatedSAETrainer-1.trainer","GatedSAETrainer-1.wandb_name","GatedSAETrainer-1.warmup_steps","GatedSAETrainer-0/aux_loss","GatedSAETrainer-0/cossim","GatedSAETrainer-0/frac_alive","GatedSAETrainer-0/frac_recovered","GatedSAETrainer-0/frac_variance_explained","GatedSAETrainer-0/l0","GatedSAETrainer-0/l1_loss","GatedSAETrainer-0/l2_loss","GatedSAETrainer-0/l2_ratio","GatedSAETrainer-0/loss","GatedSAETrainer-0/loss_original","GatedSAETrainer-0/loss_reconstructed","GatedSAETrainer-0/loss_zero","GatedSAETrainer-0/mse_loss","GatedSAETrainer-0/sparsity_loss","GatedSAETrainer-1/aux_loss","GatedSAETrainer-1/cossim","GatedSAETrainer-1/frac_alive","GatedSAETrainer-1/frac_recovered","GatedSAETrainer-1/frac_variance_explained","GatedSAETrainer-1/l0","GatedSAETrainer-1/l1_loss","GatedSAETrainer-1/l2_loss","GatedSAETrainer-1/l2_ratio","GatedSAETrainer-1/loss","GatedSAETrainer-1/loss_original","GatedSAETrainer-1/loss_reconstructed","GatedSAETrainer-1/loss_zero","GatedSAETrainer-1/mse_loss","GatedSAETrainer-1/sparsity_loss"
"rare-firefly-6","running","-","","","2024-07-11T18:51:52.000Z","4231","","768","cuda:4","dictionary_learning.dictionary.GatedAutoEncoder","24576","5","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","768","cuda:4","dictionary_learning.dictionary.GatedAutoEncoder","24576","6","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","1586.4931640625","","","","0.9891719818115234","290.752197265625","","","","5619.21923828125","","","","884.7842407226562","629.58837890625","1772.489990234375","","","","0.9871243238449096","200.9031982421875","","","","6119.4638671875","","","","1040.7783203125","551.0325927734375"
"dashing-lion-5","finished","-","","","2024-07-11T05:25:59.000Z","50846","","768","cuda:7","dictionary_learning.dictionary.GatedAutoEncoder","24576","20.56","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","768","cuda:7","dictionary_learning.dictionary.GatedAutoEncoder","24576","30","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","3559.26806640625","0.9084912538528442","0.00004069010537932627","0.9579382538795472","0.9719541668891908","12.566650390625","378.3607177734375","49.76805114746094","0.895888090133667","11920.619140625","3.3303747177124023","3.92067813873291","17.364582061767578","2559.174560546875","280.8070068359375","4629.88525390625","0.8717569708824158","0.00004069010537932627","0.9255402088165284","0.9396619200706482","8.206787109375","312.36065673828125","58.12748718261719","0.8806691765785217","15425.427734375","3.26992130279541","4.336921691894531","17.59981346130371","3492.701171875","243.12893676757812"
"graceful-totem-4","finished","-","","","2024-07-11T05:25:45.000Z","51864","","768","cuda:6","dictionary_learning.dictionary.GatedAutoEncoder","24576","9.65","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","768","cuda:6","dictionary_learning.dictionary.GatedAutoEncoder","24576","14.09","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","1701.7183837890625","0.9564532041549684","0.00004069010537932627","0.9901224970817566","0.9862537980079652","48.8880615234375","440.683349609375","34.85649871826172","0.9686530232429504","6070.19482421875","3.3303747177124023","3.4689981937408447","17.364582061767578","1253.7666015625","322.1306457519531","2614.995361328125","0.934950828552246","0.00004069010537932627","0.9785899519920348","0.968268096446991","23.200927734375","387.74371337890625","42.21244812011719","0.9180249571800232","8781.263671875","3.26992130279541","3.5767250061035156","17.59981346130371","1837.4671630859375","305.5757751464844"
"silver-puddle-3","finished","-","","","2024-07-11T05:25:35.000Z","51579","","768","cuda:5","dictionary_learning.dictionary.GatedAutoEncoder","24576","4.53","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","768","cuda:5","dictionary_learning.dictionary.GatedAutoEncoder","24576","6.62","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","1059.000244140625","0.975863754749298","0.00004069010537932627","0.9960606098175048","0.9922483563423156","159.738525390625","578.526123046875","26.311534881591797","0.9801684617996216","3686.526611328125","3.3303747177124023","3.3856611251831055","17.364582061767578","710.6533203125","420.4597473144531","1368.194091796875","0.9670422077178956","0.00004069010537932627","0.99338698387146","0.9835944175720216","82.66162109375","464.7086181640625","30.388513565063477","0.9570202827453612","4679.21875","3.26992130279541","3.364684820175171","17.59981346130371","950.4469604492188","356.64434814453125"
"generous-fog-2","finished","-","","","2024-07-11T05:25:20.000Z","51422","","768","cuda:4","dictionary_learning.dictionary.GatedAutoEncoder","24576","2.13","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","768","cuda:4","dictionary_learning.dictionary.GatedAutoEncoder","24576","3.11","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","603.53125","0.9911146759986876","0.00004069010537932627","0.998424232006073","0.9973034858703612","529.562744140625","1140.15185546875","16.387954711914062","0.993000864982605","2631.47314453125","3.3303747177124023","3.352489471435547","17.364582061767578","278.48040771484375","825.9996337890625","819.4901123046875","0.9827598333358764","0.00004069010537932627","0.9972550868988036","0.9914193153381348","289.6943359375","723.2354736328125","22.326417922973633","0.9679235219955444","3019.125","3.26992130279541","3.3092551231384277","17.59981346130371","508.3369140625","546.3135986328125"
"pleasant-oath-1","finished","-","","","2024-07-11T05:21:07.000Z","52028","","768","cuda:6","dictionary_learning.dictionary.GatedAutoEncoder","24576","1","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","768","cuda:6","dictionary_learning.dictionary.GatedAutoEncoder","24576","1.46","8","openai-community/gpt2","0.0003","0","dictionary_learning.trainers.gdm.GatedSAETrainer","GatedSAETrainer","1000","245.25555419921875","0.9967520833015442","0.00004069010537932627","0.9992234110832214","0.9996508359909058","645.68798828125","1738.0128173828125","9.955805778503418","0.995638370513916","1791.7958984375","3.3303747177124023","3.341273546218872","17.364582061767578","102.31087493896484","1449.95556640625","388.83349609375","0.9960089921951294","0.00004069010537932627","0.9988710284233092","0.9988107085227966","565.810791015625","1553.6287841796875","10.871599197387695","0.9927268028259276","2247.65771484375","3.26992130279541","3.2860991954803467","17.59981346130371","119.66344451904295","1189.346923828125"
