,l0,mse_loss,frac_recovered,delta_ce
6,8.0,2224.477783203125,0.9639703035354614,0.5056483745574951
7,16.0,1562.9638671875,0.9842284321784972,0.22600436210632324
4,32.0,1143.137939453125,0.991015374660492,0.12609148025512695
5,48.0,991.9619140625,0.9936290979385376,0.0912942886352539
2,64.0,888.5278930664062,0.9946655631065368,0.07486462593078613
3,96.0,760.5731201171875,0.9957845211029052,0.06040787696838379
0,128.0,662.1324462890625,0.9968627095222472,0.04402923583984375
1,192.0,521.289794921875,0.998054563999176,0.0278775691986084
